('Half-Life Deathmatch: Source', {360})
('Half-Life 2: Episode One', {380})
('Machinarium', {40700})
('The Witcher: Enhanced Edition', {20900})
('Call of Duty: Modern Warfare 2 (2009)', {10180})
('Call of Duty: Modern Warfare 2 (2009) - Multiplayer', {10190})
('Alien Shooter 2: Reloaded', {33120})
('Zombie Shooter', {33130})
('Poker Night at the Inventory', {31280})
('A.R.E.S.', {92300})
('Super Meat Boy', {40800})
('Portal 2 - The Final Hours', {104600})
('DETOUR', {92100})
('Puzzle Agent', {31270})
('Alter Ego', {63110})
('Defy Gravity', {96100})
('Glowfish', {60350})
('RAGE', {9200})
('Galactic Civilizations II: Ultimate Edition', {202200})
('Puzzle Agent 2', {94590})
('Alan Wake', {108710})
('Serious Sam 2', {204340})
('Pickers', {204440})
('Luxor Evolved', {205830})
('Midnight Mysteries 4: Haunted Houdini', {208640})
